iter	Passed	Remaining
0	1	170
1	3	182
2	5	173
3	6	149
4	8	154
5	9	151
6	11	147
7	12	142
8	13	139
9	15	137
10	16	133
11	17	130
12	18	126
13	20	123
14	21	121
15	22	118
16	23	116
17	24	113
18	25	110
19	27	108
20	28	106
21	29	103
22	30	100
23	31	98
24	32	96
25	32	93
26	33	91
27	34	89
28	35	87
29	36	85
30	37	83
31	38	81
32	39	79
33	40	77
34	40	75
35	41	74
36	42	72
37	43	70
38	44	68
39	44	67
40	45	65
41	46	63
42	46	62
43	47	60
44	48	59
45	49	57
46	50	56
47	50	55
48	51	53
49	52	52
50	53	51
51	54	49
52	54	48
53	55	47
54	56	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	73	22
77	74	21
78	75	20
79	76	19
80	76	18
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	81	12
87	82	11
88	83	10
89	84	9
90	84	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
