iter	Passed	Remaining
0	1	1108
1	1	958
2	2	896
3	3	903
4	4	900
5	5	905
6	6	881
7	6	865
8	7	840
9	8	818
10	9	809
11	9	818
12	10	820
13	11	840
14	12	837
15	13	838
16	14	835
17	15	833
18	16	834
19	17	834
20	17	831
21	18	837
22	19	832
23	20	822
24	20	817
25	21	808
26	22	809
27	23	807
28	23	803
29	24	799
30	25	794
31	26	792
32	26	790
33	27	787
34	28	786
35	29	788
36	30	786
37	30	784
38	31	782
39	32	779
40	33	776
41	33	772
42	34	772
43	35	772
44	36	769
45	37	769
46	37	766
47	38	764
48	39	761
49	39	757
50	41	763
51	41	764
52	43	771
53	43	768
54	44	765
55	45	763
56	46	761
57	46	760
58	47	761
59	48	758
60	49	758
61	49	756
62	50	754
63	51	753
64	52	751
65	52	748
66	53	748
67	54	750
68	55	748
69	56	748
70	57	746
71	57	746
72	58	743
73	59	743
74	60	742
75	61	743
76	61	742
77	62	740
78	63	738
79	64	736
80	64	734
81	65	733
82	65	729
83	66	729
84	67	729
85	68	730
86	69	733
87	70	734
88	71	735
89	73	739
90	73	738
91	74	737
92	75	736
93	76	735
94	77	737
95	78	737
96	79	739
97	80	739
98	81	738
99	82	738
100	83	741
101	84	741
102	85	741
103	86	741
104	86	741
105	87	740
106	88	739
107	89	740
108	90	740
109	91	740
110	92	741
111	93	740
112	94	739
113	94	737
114	95	737
115	96	737
116	97	735
117	98	734
118	99	734
119	100	733
120	100	731
121	101	730
122	102	730
123	103	731
124	104	731
125	105	730
126	105	727
127	106	726
128	107	726
129	108	725
130	109	725
131	110	724
132	110	722
133	111	721
134	112	719
135	113	718
136	113	718
137	114	717
138	115	716
139	116	715
140	117	714
141	117	711
142	118	710
143	119	708
144	120	707
145	120	707
146	121	706
147	122	705
148	123	705
149	124	705
150	125	703
151	125	702
152	126	702
153	127	701
154	128	700
155	129	699
156	130	698
157	130	696
158	131	695
159	132	695
160	132	693
161	133	691
162	134	691
163	135	690
164	136	689
165	137	688
166	137	687
167	138	687
168	139	687
169	140	686
170	141	686
171	142	684
172	143	683
173	143	682
174	144	681
175	145	681
176	146	681
177	147	681
178	148	680
179	149	679
180	149	678
181	150	677
182	151	677
183	152	676
184	153	675
185	154	674
186	155	673
187	155	672
188	156	671
189	157	671
190	158	670
191	159	669
192	159	668
193	160	667
194	161	667
195	162	665
196	163	665
197	164	665
198	165	665
199	166	664
200	166	663
201	167	662
202	168	661
203	169	660
204	170	659
205	171	659
206	171	657
207	172	657
208	173	656
209	174	654
210	174	653
211	175	653
212	176	653
213	177	652
214	178	651
215	179	651
216	180	650
217	180	648
218	181	647
219	182	647
220	183	647
221	184	647
222	185	646
223	186	644
224	186	643
225	187	643
226	188	643
227	190	643
228	191	643
229	191	642
230	192	641
231	193	640
232	194	639
233	195	639
234	196	638
235	196	637
236	197	636
237	198	635
238	199	634
239	200	633
240	201	633
241	201	632
242	202	632
243	203	631
244	204	630
245	205	629
246	205	628
247	206	627
248	207	626
249	208	625
250	209	624
251	210	623
252	210	622
253	211	621
254	212	620
255	213	619
256	214	619
257	215	618
258	215	617
259	216	616
260	217	616
261	218	615
262	219	614
263	220	613
264	221	612
265	221	612
266	222	611
267	223	610
268	224	609
269	225	608
270	226	608
271	226	607
272	227	606
273	228	605
274	229	604
275	229	603
276	230	602
277	231	601
278	232	601
279	233	600
280	234	599
281	235	598
282	235	597
283	236	597
284	237	596
285	238	596
286	239	595
287	240	594
288	241	594
289	242	593
290	243	592
291	244	592
292	245	591
293	246	591
294	247	590
295	247	589
296	248	588
297	249	588
298	250	588
299	251	587
300	252	587
301	253	586
302	254	585
303	255	585
304	256	584
305	257	583
306	258	582
307	258	581
308	259	580
309	260	579
310	261	579
311	262	578
312	263	577
313	264	577
314	264	575
315	265	575
316	266	574
317	267	573
318	268	572
319	269	572
320	270	571
321	270	570
322	271	569
323	272	568
324	273	567
325	273	566
326	274	565
327	276	565
328	276	564
329	277	563
330	278	562
331	279	561
332	280	560
333	281	560
334	282	560
335	283	559
336	283	558
337	284	557
338	285	556
339	286	555
340	287	555
341	288	554
342	288	552
343	289	552
344	290	551
345	290	549
346	291	548
347	292	548
348	293	547
349	294	546
350	294	545
351	295	544
352	296	543
353	297	542
354	298	542
355	299	541
356	300	541
357	301	540
358	302	539
359	302	538
360	303	537
361	304	537
362	305	536
363	306	535
364	307	534
365	308	533
366	309	533
367	309	532
368	310	531
369	311	531
370	312	530
371	313	529
372	314	528
373	315	527
374	316	526
375	316	525
376	317	525
377	318	524
378	319	523
379	320	522
380	320	521
381	321	520
382	322	519
383	323	518
384	324	518
385	325	517
386	326	516
387	327	515
388	327	515
389	328	514
390	330	514
391	331	513
392	332	513
393	333	512
394	334	511
395	334	510
396	335	509
397	336	509
398	337	508
399	337	506
400	338	506
401	339	505
402	340	504
403	341	503
404	342	502
405	343	502
406	344	501
407	344	500
408	345	499
409	346	498
410	347	497
411	348	497
412	349	496
413	350	495
414	350	494
415	351	493
416	352	492
417	352	491
418	353	490
419	354	489
420	355	489
421	356	488
422	357	487
423	358	486
424	359	485
425	359	485
426	360	484
427	361	483
428	362	482
429	363	481
430	364	480
431	365	480
432	365	479
433	366	478
434	367	477
435	368	476
436	369	475
437	370	475
438	371	474
439	372	473
440	373	473
441	374	472
442	374	471
443	375	470
444	376	469
445	377	468
446	377	467
447	378	466
448	379	466
449	380	465
450	381	464
451	382	463
452	383	463
453	384	462
454	385	461
455	386	460
456	386	459
457	387	458
458	388	457
459	389	456
460	389	455
461	390	455
462	391	454
463	392	453
464	393	452
465	394	451
466	394	450
467	395	449
468	396	448
469	397	447
470	398	447
471	399	446
472	399	445
473	400	444
474	401	443
475	402	442
476	403	442
477	404	441
478	405	440
479	406	439
480	406	438
481	407	438
482	408	437
483	409	436
484	410	435
485	411	434
486	411	433
487	412	433
488	413	432
489	414	431
490	414	430
491	415	429
492	416	428
493	417	427
494	418	426
495	418	425
496	419	424
497	420	423
498	421	422
499	422	422
500	423	421
501	424	420
502	425	420
503	425	419
504	426	418
505	427	417
506	428	416
507	429	415
508	430	415
509	431	414
510	432	413
511	432	412
512	433	411
513	434	410
514	435	410
515	436	409
516	437	408
517	438	407
518	438	406
519	439	405
520	440	404
521	441	404
522	442	403
523	443	402
524	444	401
525	444	400
526	445	399
527	446	399
528	447	398
529	448	397
530	448	396
531	449	395
532	450	394
533	451	393
534	451	392
535	452	391
536	453	391
537	454	390
538	455	389
539	456	389
540	457	388
541	458	387
542	459	386
543	460	386
544	461	385
545	462	384
546	463	383
547	463	382
548	464	381
549	466	381
550	467	380
551	468	380
552	469	379
553	469	378
554	470	377
555	471	376
556	472	375
557	473	375
558	474	374
559	475	373
560	475	372
561	476	371
562	477	370
563	478	369
564	479	369
565	480	368
566	481	367
567	481	366
568	482	365
569	483	364
570	485	364
571	486	363
572	487	363
573	487	362
574	488	361
575	489	360
576	490	359
577	492	359
578	492	358
579	493	357
580	494	356
581	495	356
582	496	355
583	497	354
584	498	353
585	499	352
586	500	352
587	501	351
588	501	350
589	502	349
590	503	348
591	504	347
592	505	346
593	506	345
594	507	345
595	507	344
596	508	343
597	509	342
598	510	341
599	511	340
600	512	340
601	512	339
602	513	338
603	514	337
604	515	336
605	516	335
606	517	334
607	518	334
608	519	333
609	520	332
610	520	331
611	521	330
612	522	329
613	523	329
614	524	328
615	525	327
616	525	326
617	526	325
618	527	324
619	528	323
620	529	323
621	530	322
622	530	321
623	531	320
624	532	319
625	533	318
626	534	318
627	535	317
628	536	316
629	537	315
630	538	314
631	539	314
632	540	313
633	541	312
634	542	311
635	543	310
636	543	309
637	544	309
638	545	308
639	546	307
640	547	306
641	548	305
642	549	304
643	550	304
644	550	303
645	552	302
646	553	301
647	554	301
648	555	300
649	555	299
650	556	298
651	557	297
652	558	296
653	559	295
654	560	294
655	560	294
656	561	293
657	562	292
658	563	291
659	564	290
660	565	289
661	566	289
662	566	288
663	567	287
664	568	286
665	569	285
666	570	284
667	571	283
668	572	283
669	572	282
670	573	281
671	574	280
672	575	279
673	576	278
674	577	278
675	578	277
676	579	276
677	580	275
678	581	274
679	581	273
680	582	273
681	583	272
682	584	271
683	585	270
684	586	269
685	587	268
686	588	268
687	589	267
688	590	266
689	591	265
690	592	264
691	592	263
692	593	262
693	594	262
694	595	261
695	596	260
696	597	259
697	598	258
698	599	258
699	600	257
700	601	256
701	602	255
702	603	254
703	604	254
704	605	253
705	606	252
706	607	251
707	608	250
708	609	250
709	610	249
710	611	248
711	611	247
712	612	246
713	613	245
714	614	245
715	615	244
716	616	243
717	617	242
718	618	241
719	619	240
720	620	239
721	621	239
722	621	238
723	622	237
724	623	236
